1,280,309,53.224,197.32,1,2
2,319,373,51.825,136.648,30,30
3,314,349,41.693,150.57,17,19
4,349,459,52.236,187.12,2,5
5,337,391,47.108,161.187,14,17
6,40,44,36.038,56.295,90,91
7,200,181,45.198,77.839,64,74
8,313,387,61.574,156.531,18,20
9,453,551,55.145,203.614,8,10
10,352,448,70.806,185.121,0,0
11,506,666,71.297,247.344,0,0
12,346,388,43.36,112.945,26,32
13,343,374,53.413,162.54,5,5
14,450,849,68.094,281.995,0,0
15,376,590,66.547,219.328,0,0
16,299,307,59.01,135.335,21,23
17,566,828,65.136,262.631,7,8
18,299,268,44.805,103.529,33,53
19,433,571,99.54,221.11,6,6
20,342,346,56.817,117.674,24,24
21,256,265,57.91,116.646,42,44
22,324,328,56.969,125.424,29,45
23,507,790,56.246,266.052,0,0
24,295,316,66.341,134.795,28,33
25,386,507,50.146,190.165,15,15
26,335,375,55.838,155.353,17,18
27,545,921,67.077,309.087,0,0
28,359,385,59.325,155.406,11,14
29,281,399,43.084,156.026,26,27
30,415,454,54.408,184.768,3,3
31,396,496,31.768,152.036,16,16
32,249,354,33.991,115.25,44,44
33,446,578,51.702,162.593,9,10
34,315,411,28.599,127.692,15,17
35,429,570,40.17,204.914,0,0
36,383,615,40.461,204.994,0,0
37,400,531,30.839,155.598,2,3
38,403,581,49.17,188.881,0,0
39,322,329,43.467,90.26,40,40
40,251,245,30.779,80.803,49,54
41,477,642,38.059,219.655,0,0
42,397,577,31.97,190.935,3,4
43,414,519,30.526,179.132,2,6
44,227,262,36.119,100.253,39,42
45,463,724,40.5,205.389,0,0
46,363,451,28.754,122.235,13,19
47,290,316,27.734,87.237,22,46
48,381,409,38.313,142.576,14,14
49,394,491,34.616,173.691,14,16
50,412,525,35.537,165.556,1,3
51,331,406,50.095,109.036,35,35
52,310,319,28.991,88.022,24,35
53,370,522,32.584,147.176,7,7
54,456,584,46.563,190.95,12,14
55,432,597,41.202,169.684,2,2
56,283,286,37.424,64.971,45,54
57,322,395,30.619,120.28,0,6
58,333,474,28.547,169.198,8,10
59,352,417,35.857,122.977,11,23
60,307,327,40.014,109.943,26,33
61,378,536,38.502,154.175,14,22
62,529,922,44.341,248.111,0,0
63,413,556,30.77,178.109,9,9
64,427,535,49.411,180.042,0,1
65,557,938,41.79,248.859,0,0
66,391,475,40.124,135.928,18,22
67,460,703,34.901,206.137,0,0
68,488,872,41.102,293.824,2,2
69,522,754,40.462,247.279,2,2
70,184,221,27.249,70.913,59,59
71,348,444,35.173,129.792,5,7
72,304,359,39.696,102.008,25,26
73,268,296,33.308,84.341,38,46
74,350,442,33.422,168.528,2,2
75,341,499,26.266,174.699,0,1
76,381,704,50.082,320.047,2,2
77,311,372,34.612,103.812,31,46
78,358,500,32.861,166.532,21,26
